text,category,sentiment
"النت بيفصل كل خمس دقايق والراوتر لمبته حمرا ومش عارف اشتغل",أعطال إنترنت,غاضب
"عايز اعرف تفاصيل باقة فليكس 70 وازاي اشترك فيها",استفسارات,محايد
"الرصيد بيتسحب لوحده من غير ما اعمل مكالمات ايه السرقة دي",حسابات ورصيد,غاضب
"الشبكة واقعة في البيت بقالها يومين ومفيش أي إرسال",تغطية وشبكات,غاضب
"شكرا لمندوب خدمة العملاء أستاذ أحمد كان محترم جدا وحل المشكلة",خدمة عملاء,راضي
"الباقة خلصت قبل ميعادها بـ 10 أيام مع إني بفتح فيس بوك بس",حسابات ورصيد,غاضب
"لو سمحت عايز كود إلغاء الكول تون",استفسارات,محايد
"سرعة النت بطيئة جدا جدا لا ترتقي لربع الميجا",أعطال إنترنت,غاضب
"كل ما اتصل بحد الخط يقطع في نص المكالمة",تغطية وشبكات,غاضب
"الفاتورة جاتلي الشهر ده ضعف الشهر اللي فات ليه؟",حسابات ورصيد,غاضب
"الخط الأرضي فيه شوشرة ومش سامع الحرارة",أعطال إنترنت,غاضب
"ازاي احول رصيد من رقمي لرقم تاني",استفسارات,محايد
"الخدمة سيئة جدا وهلغي الخط واروح شركة تانية",خدمة عملاء,غاضب
"عايز أغير نظام الخط لنظام الكارت",استفسارات,محايد
"مفيش شبكة 4G في المنصورة خالص بقالها أسبوع",تغطية وشبكات,غاضب
"البنج عالي جدا في الألعاب والنت مش مستقر",أعطال إنترنت,غاضب
"شحنت كارت بـ 50 جنيه وموصلش الرصيد لحد دلوقتي",حسابات ورصيد,غاضب
"التليفون بيديني غير متاح مع إن الفون مفتوح والشبكة مليانة",تغطية وشبكات,غاضب
"خدمة العملاء مبيردوش بقالي نص ساعة على الانتظار",خدمة عملاء,غاضب
"إيه هي الباقات المتاحة للإنترنت المنزلي؟",استفسارات,محايد
"لمبة الـ ADSL مش بتنور والنت قاطع من الصبح",أعطال إنترنت,غاضب
"ازاي اعرف استهلاكي من باقة النت؟",استفسارات,محايد
"خصمتوا مني 10 جنيه خدمة معرفش عنها حاجة",حسابات ورصيد,غاضب
"الشبكة بتختفي جوه الشقة وبضطر أقف في البلكونة عشان أتكلم",تغطية وشبكات,غاضب
"موظف الفرع كان قليل الذوق جدا في التعامل معايا",خدمة عملاء,غاضب
"عايز استعلم عن ميعاد تجديد باقة النت",استفسارات,محايد
"سلك التليفون الأرضي مقطوع في الشارع ومحتاج فني",أعطال إنترنت,غاضب
"في مشكلة في إرسال واستقبال الرسايل النصية",تغطية وشبكات,غاضب
"الفلوس اتخصمت من الفيزا مرتين وأنا بدفع الفاتورة",حسابات ورصيد,غاضب
"ازاي أفعل خدمة التجوال قبل ما أسافر؟",استفسارات,محايد
"النت شغال كويس جدا ومفيش أي مشكلة شكرا ليكم",أعطال إنترنت,راضي
"الخط بتاعي اتوقف فجأة من غير سبب",تغطية وشبكات,غاضب
"عايز رقم خدمة عملاء الشركات لو سمحت",استفسارات,محايد
"الراوتر بيهيس وبيعمل ريستارت لوحده كل شوية",أعطال إنترنت,غاضب
"حولت رصيد بالغلط لرقم تاني ومحتاج استرده",حسابات ورصيد,غاضب
"عايز أقدم طلب تركيب خط أرضي جديد",استفسارات,محايد
"النت خلص في أسبوع مع إني مش بنزل حاجات تقيلة",حسابات ورصيد,غاضب
"التغطية في قرى أجا ضعيفة جدا ومحتاجين تقوية للشبكة",تغطية وشبكات,غاضب
"لمبة الإنترنت في الراوتر بتنور أحمر ثابت",أعطال إنترنت,غاضب
"محتاج أغير الباسورد بتاع الراوتر ومش عارف الطريقة",استفسارات,محايد
"أنا دفعت الفاتورة من يومين ولسه الخدمة مشتغلتش لحد دلوقتي",حسابات ورصيد,غاضب
"صوت المكالمات بيقطع وفي لغوشة جامدة",تغطية وشبكات,غاضب
"إيه أفضل نظام للمكالمات الدولية؟",استفسارات,محايد
"شكرا لسرعة الاستجابة وحل عطل النت في نفس اليوم",أعطال إنترنت,راضي
"الرصيد بيختفي أول ما بشحن الخط",حسابات ورصيد,غاضب
"عايز أعرف الأوراق المطلوبة لنقل ملكية الخط",استفسارات,محايد
"الراوتر عندي فاصل واللمبة مش بتنور بقالها ساعة",أعطال إنترنت,غاضب